Team,Elo,AvgGoals5,AvgConceded5,WinRate5,country
Standard,1433.41,0.2,0.6,0.3,BEL
Club Brugge,1745.35,1.8,0.6,0.7,BEL
Gent,1497.33,0.4,3.4,0.0,BEL
Aalst,1285.78,1.4,2.2,0.1,BEL
Lierse,1297.92,1.4,1.8,0.4,BEL
St Truiden,1441.7,1.4,1.6,0.6,BEL
Anderlecht,1600.53,2.0,1.0,0.6,BEL
Reutlingen,1478.17,1.0,1.2,0.5,GER
Mainz,1703.02,1.4,1.8,0.4,GER
Duisburg,1383.72,1.8,2.4,0.4,GER
Ulm,1376.62,1.2,1.4,0.4,GER
Beira Mar,1452.31,1.6,1.6,0.4,POR
Boavista,1352.51,0.8,1.8,0.4,POR
Derby,1458.25,1.2,0.8,0.6,ENG
Southampton,1557.66,0.4,1.4,0.2,ENG
Sp Braga,1647.99,1.8,1.0,0.6,POR
Guimaraes,1579.96,1.4,1.2,0.6,POR
Graafschap,1315.13,1.0,2.6,0.3,NED
PSV Eindhoven,1793.04,3.8,1.0,1.0,NED
Porto,1674.77,1.8,1.4,0.8,POR
Benfica,1794.14,2.8,0.8,0.8,POR
Feyenoord,1758.16,2.8,0.8,0.8,NED
AZ Alkmaar,1623.19,2.0,0.8,0.7,NED
Charlton,1398.32,0.6,0.4,0.7,ENG
Man City,1945.1,1.6,0.4,0.9,ENG
Chelsea,1880.42,1.4,0.8,0.8,ENG
West Ham,1747.89,1.4,1.4,0.4,ENG
Coventry,1535.68,1.0,1.0,0.5,ENG
Middlesbrough,1529.45,0.6,1.0,0.3,ENG
Sunderland,1526.13,0.2,1.2,0.1,ENG
Arsenal,1985.45,2.0,1.2,0.6,ENG
Leeds,1708.44,2.8,0.2,1.0,ENG
Everton,1776.2,1.4,1.2,0.5,ENG
Leicester,1611.09,1.2,1.2,0.5,ENG
Aston Villa,1877.14,1.8,0.6,0.8,ENG
Tottenham,1784.55,0.6,2.4,0.1,ENG
Ipswich,1605.94,0.4,2.4,0.1,ENG
NAC Breda,1353.71,0.6,1.8,0.2,NED
Waalwijk,1363.69,1.0,3.0,0.2,NED
Liverpool,2008.67,2.2,1.8,0.5,ENG
Bradford,1323.78,0.6,1.8,0.1,ENG
Gil Vicente,1430.86,1.2,0.8,0.5,POR
Campomaiorense,1348.7,0.4,2.0,0.4,POR
Samsunspor,1431.06,1.6,0.8,0.7,TUR
Salgueiros,1346.44,1.0,2.2,0.2,POR
Pacos Ferreira,1373.01,1.0,2.0,0.4,POR
Sp Lisbon,1784.92,2.4,0.6,0.9,POR
Farense,1396.31,0.8,0.8,0.5,POR
Leiria,1492.15,0.6,1.6,0.3,POR
Est Amadora,1494.59,0.8,1.0,0.5,POR
Man United,1797.14,0.8,1.8,0.1,ENG
Newcastle,1882.33,1.4,1.2,0.5,ENG
Aves,1299.83,0.2,2.4,0.2,POR
Belenenses,1405.52,1.2,1.8,0.3,POR
Vitesse,1358.2,1.2,2.6,0.4,NED
Twente,1584.27,1.6,1.4,0.5,NED
Roosendaal,1302.88,1.0,2.4,0.1,NED
Nijmegen,1502.63,1.8,0.6,0.7,NED
Groningen,1418.43,2.6,2.0,0.5,NED
Willem II,1321.88,0.8,1.6,0.1,NED
Utrecht,1587.84,2.4,0.8,0.7,NED
Heerenveen,1430.78,1.0,1.6,0.4,NED
Oberhausen,1376.63,1.4,2.8,0.3,GER
Alverca,1396.89,0.6,1.4,0.4,POR
Maritimo,1396.97,1.4,1.8,0.3,POR
Mouscron,1364.66,1.2,1.4,0.4,BEL
Ajax,1657.26,1.0,2.2,0.4,NED
