Team,Elo,AvgGoals5,AvgConceded5,WinRate5,country
Nordsjaelland,1556.76,2.0,2.6,0.3,DEN
Brondby,1548.09,2.2,1.8,0.6,DEN
Stromsgodset,1343.23,1.6,2.0,0.5,NOR
Viking,1471.83,2.6,1.6,0.6,NOR
Midtjylland,1564.46,2.0,1.0,0.8,DEN
Kalmar,1293.94,1.6,1.2,0.6,SWE
Legia,1500.74,1.4,1.2,0.5,POL
Ruch,1264.51,0.8,1.2,0.5,POL
Podbeskidzie,1203.39,0.8,1.2,0.3,POL
Astra,1302.61,1.8,0.6,0.6,ROM
Bistrita,1256.51,0.4,3.8,0.0,ROM
Aalborg,1339.44,0.8,2.6,0.4,DEN
Sandnes,1183.95,0.6,1.8,0.3,NOR
Sundsvall,1162.15,1.0,3.0,0.1,SWE
Djurgarden,1433.78,1.0,1.6,0.5,SWE
CFR Cluj,1415.06,1.4,1.0,0.7,ROM
Vaslui,1488.24,2.2,0.8,0.6,ROM
Inter Turku,1216.48,2.6,0.2,1.0,FIN
MyPa,1160.57,1.0,1.0,0.4,FIN
Wisla,1262.62,0.6,1.2,0.3,POL
Pandurii,1320.21,1.0,1.2,0.6,ROM
Horsens,1287.97,0.8,2.4,0.1,DEN
Jagiellonia,1417.0,1.4,1.4,0.5,POL
Ross County,1244.02,1.0,2.2,0.1,SCO
Sandhausen,1366.59,1.2,1.6,0.3,GER
Aalen,1436.63,1.8,2.0,0.5,GER
Akhisar Belediyespor,1351.89,1.0,1.6,0.2,TUR
Mirandes,1544.15,1.6,0.8,0.9,ESP
Lugo,1372.48,0.6,2.2,0.0,ESP
Zenit,1666.16,1.4,0.6,0.7,RUS
Rubin Kazan,1414.06,1.0,1.8,0.5,RUS
Virtus Lanciano,1374.67,1.0,1.8,0.4,ITA
Platanias,1253.77,0.4,2.0,0.1,GRE
Pro Vercelli,1354.46,1.2,2.2,0.4,ITA
Polonia Warszawa,1358.13,0.8,1.8,0.1,POL
Piast Gliwice,1428.79,1.0,1.0,0.6,POL
Kuban,1519.0,1.0,2.0,0.2,RUS
Halmstad,1248.97,0.6,1.6,0.2,SWE
Mariehamn,1192.89,1.8,1.2,0.6,FIN
Start,1254.8,0.6,2.0,0.1,NOR
Cracovia,1405.33,2.2,0.8,0.9,POL
Brommapojkarna,1282.72,0.8,1.4,0.3,SWE
Tomsk,1364.73,0.6,2.0,0.0,RUS
Vestsjaelland,1305.59,1.4,0.8,0.7,DEN
Zawisza,1305.86,0.8,2.2,0.2,POL
Viborg,1442.12,1.8,2.0,0.4,DEN
Yeovil,1373.17,0.4,2.4,0.1,ENG
Bournemouth,1806.69,0.8,1.2,0.4,ENG
Go Ahead Eagles,1513.18,0.6,1.0,0.5,NED
Cambuur,1311.73,0.2,2.8,0.0,NED
CA Bastia,1299.11,1.0,2.2,0.3,FRA
Apollon,1176.88,0.4,1.6,0.3,GRE
Arouca,1464.66,0.8,1.4,0.3,POR
Panetolikos,1276.09,1.0,0.8,0.6,GRE
Kallonis,1247.09,0.4,1.8,0.2,GRE
Carpi,1316.79,1.4,1.8,0.3,ITA
Latina,1358.08,1.0,1.0,0.5,ITA
Trapani,1394.68,1.6,1.0,0.7,ITA
Corona Brasov,1227.88,1.0,3.0,0.3,ROM
Falkenbergs,1211.1,1.2,2.0,0.3,SWE
Rovaniemi,1172.26,0.8,2.2,0.2,FIN
Hobro,1279.84,1.6,1.6,0.5,DEN
Altach,1321.57,0.6,1.6,0.1,AUT
RB Leipzig,1725.62,1.4,2.0,0.5,GER
Orleans,1299.1,0.6,2.0,0.2,FRA
Darmstadt,1439.42,1.2,1.6,0.5,GER
Heidenheim,1569.78,0.8,1.4,0.5,GER
Brentford,1820.23,2.6,1.6,0.8,ENG
Dordrecht,1227.58,0.8,2.2,0.2,NED
Ufa,1394.21,1.0,1.6,0.4,RUS
Llagostera,1530.07,0.6,0.4,0.6,ESP
Niki Volos,1256.36,0.0,3.0,0.0,GRE
Balikesirspor,1387.46,2.6,2.6,0.4,TUR
Virtus Entella,1292.98,0.6,2.0,0.1,ITA
Targu Mures,1307.2,0.6,0.8,0.3,ROM
Mjondalen,1268.09,2.0,1.8,0.6,NOR
Sandefjord,1319.32,1.2,1.6,0.5,NOR
Hammarby,1465.45,1.0,0.2,0.6,SWE
Lahti,1156.92,0.8,1.6,0.3,FIN
Paris FC,1532.14,1.4,0.6,0.8,FRA
Bourg Peronnas,1312.14,1.4,3.8,0.2,FRA
Red Star,1368.18,1.2,1.4,0.4,FRA
Milton Keynes Dons,1345.69,1.0,1.6,0.2,ENG
Tondela,1385.44,0.6,2.0,0.2,POR
Uniao Madeira,1368.54,1.2,1.8,0.2,POR
Ath Bilbao B,1449.94,0.6,1.8,0.1,ESP
Lyngby,1354.6,1.2,1.0,0.6,DEN
Burton,1373.2,1.6,0.8,0.7,ENG
Wurzburger Kickers,1342.47,1.2,2.6,0.3,GER
Sparta Rotterdam,1497.5,1.6,1.0,0.6,NED
Feirense,1315.73,1.6,2.6,0.2,POR
Chaves,1357.23,0.8,1.8,0.3,POR
Alanyaspor,1388.46,1.6,1.4,0.6,TUR
Reus Deportiu,1449.94,0.0,1.0,0.0,ESP
UCAM Murcia,1507.36,1.0,1.0,0.5,ESP
Orenburg,1395.05,0.8,0.6,0.4,RUS
Benevento,1417.64,1.4,1.6,0.5,ITA
Spal,1397.61,0.8,1.2,0.3,ITA
Kristiansund,1304.04,0.8,1.0,0.4,NOR
Tosno,1441.56,0.0,2.6,0.0,RUS
Helsingor,1227.3,1.0,2.0,0.2,DEN
LASK,1438.73,0.8,1.2,0.2,AUT
Quevilly Rouen,1375.17,1.2,1.6,0.3,FRA
Holstein Kiel,1540.36,2.0,1.8,0.5,GER
Leonesa,1482.12,1.6,1.0,0.7,ESP
Lamia,1177.93,1.0,1.2,0.4,GRE
Foggia,1370.34,1.2,1.0,0.5,ITA
Ranheim,1227.98,1.4,1.8,0.5,NOR
Dalkurd,1231.32,0.6,2.2,0.2,SWE
Vendsyssel,1272.82,1.0,1.6,0.2,DEN
Vejle,1312.06,0.2,2.4,0.0,DEN
Beziers,1323.57,2.0,2.0,0.6,FRA
Hartberg,1394.55,1.0,1.2,0.4,AUT
Yenisey,1401.24,0.8,0.8,0.5,RUS
Magdeburg,1445.38,1.4,0.8,0.5,GER
Erzurum BB,1329.3,1.4,2.4,0.2,TUR
FC Emmen,1366.31,1.2,3.2,0.2,NED
Rayo Majadahonda,1439.17,1.6,2.4,0.1,ESP
Tambov,1276.14,0.8,2.4,0.3,RUS
Sochi,1403.27,0.2,1.2,0.3,RUS
Rodez,1428.59,1.6,1.6,0.5,FRA
Chambly,1330.2,1.6,0.8,0.7,FRA
Rakow,1457.72,0.6,1.0,0.3,POL
Famalicao,1505.4,1.4,1.4,0.3,POR
Fuenlabrada,1426.24,1.4,1.6,0.3,ESP
Pordenone,1265.36,1.4,2.4,0.3,ITA
Chindia Targoviste,1214.9,1.2,0.8,0.8,ROM
Beerschot VA,1324.82,1.2,1.6,0.2,BEL
Pau FC,1401.06,1.4,2.6,0.4,FRA
Dunkerque,1432.83,1.0,0.6,0.5,FRA
Mioveni,1124.04,0.8,0.8,0.4,ROM
Hatayspor,1253.83,2.6,2.4,0.5,TUR
Wycombe,1428.67,1.2,0.6,0.6,ENG
Karagumruk,1421.72,2.2,1.8,0.5,TUR
Logrones,1426.33,0.6,1.8,0.3,ESP
Stal Mielec,1319.41,1.4,1.4,0.6,POL
Reggiana,1388.06,1.8,1.4,0.8,ITA
UTA Arad,1278.28,0.8,1.0,0.4,ROM
Degerfors,1227.1,1.0,1.8,0.4,SWE
Seraing,1299.41,0.4,2.6,0.0,BEL
St. Gilloise,1716.52,1.4,0.0,0.9,BEL
Vizela,1365.98,0.8,1.6,0.1,POR
Ibiza,1377.14,0.4,1.6,0.3,ESP
Amorebieta,1447.21,1.0,1.4,0.6,ESP
Sociedad B,1438.89,1.6,1.6,0.6,ESP
Ad. Demirspor,1238.46,0.6,3.0,0.0,TUR
Giresunspor,1362.7,1.4,1.2,0.5,TUR
Alessandria,1327.44,1.4,1.0,0.6,ITA
Ham-Kam,1279.15,2.2,1.2,0.8,NOR
Jerv,1198.53,1.6,2.0,0.4,NOR
Varnamo,1320.4,0.6,2.0,0.1,SWE
Annecy,1423.44,1.2,0.8,0.6,FRA
Casa Pia,1465.8,0.8,1.2,0.4,POR
Umraniyespor,1362.33,1.6,0.8,0.5,TUR
Fakel Voronezh,1362.81,0.6,1.2,0.4,RUS
Sudtirol,1432.77,2.0,1.4,0.7,ITA
Gloria Buzau,1136.27,1.0,5.0,0.0,ROM
Haka,1215.23,0.0,3.0,0.0,FIN
Baltika,1373.02,0.0,1.0,0.1,RUS
Elversberg,1494.85,2.2,0.8,0.8,GER
Concarneau,1320.96,1.2,1.6,0.3,FRA
Plymouth,1435.28,1.6,1.6,0.6,ENG
Pendikspor,1308.86,1.2,2.0,0.3,TUR
Eldense,1423.86,1.2,2.0,0.5,ESP
Almere City,1341.64,0.4,2.2,0.2,NED
BW Linz,1350.76,1.2,0.8,0.7,AUT
Lecco,1319.36,0.6,2.2,0.2,ITA
KFUM Oslo,1299.74,0.8,0.8,0.5,NOR
Motor Lublin,1298.68,0.0,1.5,0.0,POL
Akron Togliatti,1332.2,1.5,1.0,0.5,RUS
Preussen Munster,1380.23,0.8,1.0,0.4,GER
AVS,1366.44,0.6,3.2,0.1,POR
Oxford,1446.53,1.0,1.0,0.5,ENG
Eyupspor,1365.11,0.4,2.8,0.0,TUR
Carrarese,1417.32,1.2,1.4,0.5,ITA
Bodrumspor,1345.44,0.6,1.2,0.3,TUR
Dynamo Makhachkala,1296.83,0.0,0.0,0.0,RUS
Unirea Slobozia,1199.13,0.0,0.0,0.0,ROM
Nott'm Forest,1799.76,1.4,1.4,0.6,ENG
M'gladbach,1641.34,2.0,3.0,0.1,GER
